store_id,date,amount_cash,y_pred,buffer,recommended_cash
STR_001,2023-12-01,1569480.35,1419526.1457645532,227054.7550188118,1646580.9007833651
STR_001,2023-12-02,2179396.39,1459677.6239123594,227054.7550188118,1686732.3789311713
STR_001,2023-12-03,1081800.49,1410455.8975947057,227054.7550188118,1637510.6526135174
STR_001,2023-12-04,918400.04,908356.0628969806,227054.7550188118,1135410.8179157923
STR_001,2023-12-05,1047022.13,1015452.3360764805,227054.7550188118,1242507.0910952922
STR_001,2023-12-06,1151126.73,1066353.8023568701,227054.7550188118,1293408.557375682
STR_001,2023-12-07,1181821.63,1115486.6622072947,227054.7550188118,1342541.4172261064
STR_001,2023-12-08,1335120.1400000001,1416859.4177223702,227054.7550188118,1643914.1727411821
STR_001,2023-12-09,2329286.05,1460707.1297441202,227054.7550188118,1687761.884762932
STR_001,2023-12-10,1196570.13,1410137.1249875706,227054.7550188118,1637191.8800063822
STR_001,2023-12-11,1026152.48,880588.6694615225,227054.7550188118,1107643.4244803344
STR_001,2023-12-12,1258317.5699999998,1312606.7840132841,227054.7550188118,1539661.539032096
STR_001,2023-12-13,1343054.53,1135055.2395736964,227054.7550188118,1362109.9945925083
STR_001,2023-12-14,1323579.19,1110759.0633800058,227054.7550188118,1337813.8183988174
STR_001,2023-12-15,2201120.08,1468623.8758263264,227054.7550188118,1695678.6308451383
STR_001,2023-12-16,2493666.7,1463562.7830027298,227054.7550188118,1690617.5380215417
STR_001,2023-12-17,2232794.45,1376719.4089041033,227054.7550188118,1603774.1639229152
STR_001,2023-12-18,684982.11,1266107.019335196,227054.7550188118,1493161.7743540076
STR_001,2023-12-19,1058262.5699999998,1160582.6101080126,227054.7550188118,1387637.3651268245
STR_001,2023-12-20,1297692.43,1236830.6276460448,227054.7550188118,1463885.3826648565
STR_001,2023-12-21,1513341.85,1325284.9372694644,227054.7550188118,1552339.6922882763
STR_001,2023-12-22,1793464.64,1422962.0900544615,227054.7550188118,1650016.8450732734
STR_001,2023-12-23,2218952.55,1463562.7830027298,227054.7550188118,1690617.5380215417
STR_001,2023-12-24,4059495.63,1411210.3175922937,227054.7550188118,1638265.0726111056
STR_001,2023-12-25,1855883.98,1278700.808934382,227054.7550188118,1505755.5639531938
STR_001,2023-12-26,1354140.27,1256903.370141582,227054.7550188118,1483958.1251603938
STR_001,2023-12-27,1350850.07,1366201.7507353092,227054.7550188118,1593256.505754121
STR_001,2023-12-28,1044995.98,1413562.270727587,227054.7550188118,1640617.0257463986
STR_001,2023-12-29,1505423.67,1405704.9631268817,227054.7550188118,1632759.7181456937
STR_001,2023-12-30,2215763.2199999997,1460707.1297441202,227054.7550188118,1687761.884762932
STR_001,2023-12-31,4764654.15,1514125.64053263,227054.7550188118,1741180.3955514417
STR_001,2024-01-01,227816.64,309022.0647993411,227054.7550188118,536076.8198181528
STR_001,2024-01-02,904486.11,855969.4354642703,227054.7550188118,1083024.190483082
STR_001,2024-01-03,834531.8200000001,776024.190803039,227054.7550188118,1003078.9458218508
STR_001,2024-01-04,782679.35,1008798.2457001596,227054.7550188118,1235853.0007189712
STR_001,2024-01-05,1100962.71,1136184.2387436146,227054.7550188118,1363238.9937624265
STR_001,2024-01-06,1394253.18,1339187.7312777573,227054.7550188118,1566242.486296569
STR_001,2024-01-07,788260.08,1069839.946841932,227054.7550188118,1296894.7018607436
STR_001,2024-01-08,659140.8300000001,641076.0105145079,227054.7550188118,868130.7655333197
STR_001,2024-01-09,395302.22,681737.9144791319,227054.7550188118,908792.6694979437
STR_001,2024-01-10,609633.54,710531.3520696602,227054.7550188118,937586.107088472
STR_001,2024-01-11,776232.12,718120.0646947325,227054.7550188118,945174.8197135443
STR_001,2024-01-12,1011720.1799999999,905945.7025750718,227054.7550188118,1133000.4575938836
STR_001,2024-01-13,1299706.52,1136595.00888379,227054.7550188118,1363649.7639026018
STR_001,2024-01-14,629135.8899999999,922992.5622172506,227054.7550188118,1150047.3172360624
STR_001,2024-01-15,1027511.79,933581.5337129105,227054.7550188118,1160636.2887317222
STR_001,2024-01-16,589491.41,614368.5613209337,227054.7550188118,841423.3163397455
STR_001,2024-01-17,606962.35,615411.8013522635,227054.7550188118,842466.5563710753
STR_001,2024-01-18,693308.91,704643.300622888,227054.7550188118,931698.0556416998
STR_001,2024-01-19,680289.35,899030.3329831577,227054.7550188118,1126085.0880019695
STR_001,2024-01-20,1074657.68,1094520.2952863348,227054.7550188118,1321575.0503051467
STR_001,2024-01-21,894203.59,905477.8474762123,227054.7550188118,1132532.602495024
STR_001,2024-01-22,403973.63,615485.9583579272,227054.7550188118,842540.713376739
STR_001,2024-01-23,684826.76,643832.754057037,227054.7550188118,870887.5090758487
STR_001,2024-01-24,546748.16,608324.7214500174,227054.7550188118,835379.4764688292
STR_001,2024-01-25,820539.26,818332.3670652689,227054.7550188118,1045387.1220840807
STR_001,2024-01-26,981906.21,893591.1900207684,227054.7550188118,1120645.94503958
STR_001,2024-01-27,1173349.72,1251697.6322804608,227054.7550188118,1478752.3872992727
STR_001,2024-01-28,934330.26,909262.7708283202,227054.7550188118,1136317.5258471319
STR_001,2024-01-29,601931.1799999999,606514.6159321537,227054.7550188118,833569.3709509654
STR_001,2024-01-30,666510.02,601338.9701644207,227054.7550188118,828393.7251832325
STR_001,2024-01-31,915811.5499999999,762251.7844712533,227054.7550188118,989306.5394900651
STR_001,2024-02-01,881061.78,678060.0832060789,227054.7550188118,905114.8382248906
STR_001,2024-02-02,1046279.01,893778.5540938583,227054.7550188118,1120833.3091126701
STR_001,2024-02-03,1368104.03,1150272.1435135365,227054.7550188118,1377326.8985323482
STR_001,2024-02-04,1103323.4300000002,965459.2230010738,227054.7550188118,1192513.9780198857
STR_001,2024-02-05,392528.15,398035.6806882445,227054.7550188118,625090.4357070563
STR_001,2024-02-06,555545.47,646329.0742630062,227054.7550188118,873383.829281818
STR_001,2024-02-07,698686.26,686892.7927119458,227054.7550188118,913947.5477307576
STR_001,2024-02-08,655465.37,673931.6655076842,227054.7550188118,900986.420526496
STR_001,2024-02-09,845934.56,972471.0339604698,227054.7550188118,1199525.7889792817
STR_001,2024-02-10,1173228.97,1268538.780586441,227054.7550188118,1495593.5356052527
STR_001,2024-02-11,1124887.04,1129866.5496933395,227054.7550188118,1356921.3047121512
STR_001,2024-02-12,629988.08,557038.7826610839,227054.7550188118,784093.5376798956
STR_001,2024-02-13,426228.69,613562.1250870741,227054.7550188118,840616.8801058859
STR_001,2024-02-14,771583.4099999999,665563.3198420927,227054.7550188118,892618.0748609045
STR_001,2024-02-15,1266082.13,974493.2472972773,227054.7550188118,1201548.002316089
STR_001,2024-02-16,938340.88,878681.8384778757,227054.7550188118,1105736.5934966875
STR_001,2024-02-17,1443742.98,1305137.9800455594,227054.7550188118,1532192.735064371
STR_001,2024-02-18,1016506.77,994184.0748764983,227054.7550188118,1221238.82989531
STR_001,2024-02-19,574712.99,539703.3797022923,227054.7550188118,766758.134721104
STR_001,2024-02-20,705922.35,680251.3124015684,227054.7550188118,907306.0674203802
STR_001,2024-02-21,563444.61,706442.820862552,227054.7550188118,933497.5758813638
STR_001,2024-02-22,834390.03,817557.0114861261,227054.7550188118,1044611.7665049379
STR_001,2024-02-23,754347.06,894431.6524783961,227054.7550188118,1121486.4074972079
STR_001,2024-02-24,1194757.83,1133133.807471998,227054.7550188118,1360188.5624908097
STR_001,2024-02-25,1345484.03,1163398.954960963,227054.7550188118,1390453.709979775
STR_001,2024-02-26,663805.49,684806.3637280628,227054.7550188118,911861.1187468746
STR_001,2024-02-27,684735.59,682243.7451797152,227054.7550188118,909298.500198527
STR_001,2024-02-28,575493.84,658114.443348589,227054.7550188118,885169.1983674008
STR_001,2024-02-29,1036293.33,963284.7959227927,227054.7550188118,1190339.5509416047
STR_002,2023-12-01,890489.98,860302.06495092,154149.15438991785,1014451.2193408378
STR_002,2023-12-02,1392767.17,1217332.7473984763,154149.15438991785,1371481.9017883942
STR_002,2023-12-03,970228.47,1146198.6056401674,154149.15438991785,1300347.7600300852
STR_002,2023-12-04,421107.44,823326.247184178,154149.15438991785,977475.4015740958
STR_002,2023-12-05,772831.87,810587.6230102453,154149.15438991785,964736.7774001631
STR_002,2023-12-06,625467.39,658304.7133743669,154149.15438991785,812453.8677642847
STR_002,2023-12-07,854702.32,844208.7939813099,154149.15438991785,998357.9483712277
STR_002,2023-12-08,841642.11,948172.0825908153,154149.15438991785,1102321.236980733
STR_002,2023-12-09,1487760.05,1229504.7009811592,154149.15438991785,1383653.855371077
STR_002,2023-12-10,1502407.53,1164716.322089773,154149.15438991785,1318865.4764796908
STR_002,2023-12-11,539543.64,625720.355185223,154149.15438991785,779869.5095751409
STR_002,2023-12-12,1073084.52,1055364.771907323,154149.15438991785,1209513.926297241
STR_002,2023-12-13,826033.8200000001,731627.9239611325,154149.15438991785,885777.0783510504
STR_002,2023-12-14,931706.95,810798.2002451132,154149.15438991785,964947.3546350311
STR_002,2023-12-15,1703992.55,1243297.8900270958,154149.15438991785,1397447.0444170136
STR_002,2023-12-16,2037913.2799999998,1319063.2796089167,154149.15438991785,1473212.4339988346
STR_002,2023-12-17,1459442.14,1275031.198077033,154149.15438991785,1429180.352466951
STR_002,2023-12-18,778614.0599999999,795628.7536623451,154149.15438991785,949777.908052263
STR_002,2023-12-19,978600.38,966418.112496104,154149.15438991785,1120567.266886022
STR_002,2023-12-20,955863.9299999999,842606.1182546773,154149.15438991785,996755.2726445951
STR_002,2023-12-21,1115870.47,1094105.2200489256,154149.15438991785,1248254.3744388435
STR_002,2023-12-22,1151294.23,1206623.8608098328,154149.15438991785,1360773.0151997507
STR_002,2023-12-23,1601325.79,1305883.4960282042,154149.15438991785,1460032.650418122
STR_002,2023-12-24,3502026.39,1233893.9251206517,154149.15438991785,1388043.0795105696
STR_002,2023-12-25,1288548.86,1073615.2003699655,154149.15438991785,1227764.3547598834
STR_002,2023-12-26,872439.3999999999,996555.125551436,154149.15438991785,1150704.279941354
STR_002,2023-12-27,873470.8099999999,812799.9747394595,154149.15438991785,966949.1291293773
STR_002,2023-12-28,922042.75,1004483.0800165497,154149.15438991785,1158632.2344064675
STR_002,2023-12-29,1248305.33,1233196.2717682167,154149.15438991785,1387345.4261581346
STR_002,2023-12-30,1446777.02,1324824.5842713842,154149.15438991785,1478973.738661302
STR_002,2023-12-31,3522672.9,1401703.4607373695,154149.15438991785,1555852.6151272873
STR_002,2024-01-01,206587.77,237213.7059633088,154149.15438991785,391362.86035322666
STR_002,2024-01-02,459192.04000000004,550893.0687067223,154149.15438991785,705042.2230966402
STR_002,2024-01-03,620171.48,632228.4818491059,154149.15438991785,786377.6362390238
STR_002,2024-01-04,579757.34,608134.9480959458,154149.15438991785,762284.1024858636
STR_002,2024-01-05,761277.89,741390.3931506915,154149.15438991785,895539.5475406094
STR_002,2024-01-06,683918.85,1013501.3203377926,154149.15438991785,1167650.4747277105
